Date,Name,Year,Letterboxd URI,Rating
2025-07-17,A Real Pain,2024,https://boxd.it/CjNG,2
2025-08-22,Game Night,2018,https://boxd.it/fRtu,4
2025-10-20,Weapons,2025,https://boxd.it/EMTM,4
2025-10-20,Nightcrawler,2014,https://boxd.it/780m,5
2025-10-20,The Batman,2022,https://boxd.it/eDGs,4.5
2025-10-20,The Whale,2022,https://boxd.it/tw4c,4
2025-10-20,The Long Walk,2025,https://boxd.it/mic8,4.5
2025-10-20,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2025-10-22,Heretic,2024,https://boxd.it/H1lY,4.5
2025-10-25,The Great Gatsby,2013,https://boxd.it/JY,1.5
2025-11-06,There Will Be Blood,2007,https://boxd.it/20Z2,4
2025-11-12,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3.5
2025-12-18,Wake Up Dead Man,2025,https://boxd.it/uAKS,4.5
2025-12-24,Mean Girls,2004,https://boxd.it/1VNg,4.5
2026-01-06,No Other Choice,2025,https://boxd.it/nKiA,5
2026-01-13,Bugonia,2025,https://boxd.it/qeWY,4
2026-01-13,Good Time,2017,https://boxd.it/fcFu,4.5
2026-01-13,The Running Man,2025,https://boxd.it/u36A,3
2026-01-19,The Rip,2026,https://boxd.it/NP5y,4
2026-01-22,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,4.5
2026-01-24,It's What's Inside,2024,https://boxd.it/DOV4,4.5
2026-01-25,Memento,2000,https://boxd.it/2bcK,4.5
2026-03-04,Lemonade Mouth,2011,https://boxd.it/4bG,4.5
2026-04-06,Project Hail Mary,2026,https://boxd.it/pEeQ,4.5
