Date,Name,Year,Letterboxd URI,Rating
2021-11-02,Dune,2021,https://boxd.it/fA7G,5
2021-11-02,Squid Game,2021,https://boxd.it/x1OG,3
2021-11-02,Parasite,2019,https://boxd.it/hTha,5
2021-11-02,Fight Club,1999,https://boxd.it/2a9q,5
2021-11-02,Joker,2019,https://boxd.it/h4cS,5
2021-11-02,Free Guy,2021,https://boxd.it/k8dm,3
2021-11-02,Black Widow,2021,https://boxd.it/hWV8,3
2021-11-02,The Suicide Squad,2021,https://boxd.it/fw6O,2
2021-11-02,Luca,2021,https://boxd.it/ipjC,5
2021-11-02,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-11-02,A Quiet Place Part II,2020,https://boxd.it/iTx0,5
2021-11-02,The Green Knight,2021,https://boxd.it/kuy2,5
2021-11-02,Wonder Woman 1984,2020,https://boxd.it/gBtA,1
2021-11-02,Onward,2020,https://boxd.it/io92,4
2021-11-02,Loki,2021,https://boxd.it/sbHg,4
2021-11-02,Nobody,2021,https://boxd.it/mLqS,3
2021-11-02,Candyman,2021,https://boxd.it/kHFg,3
2021-11-02,Extraction,2020,https://boxd.it/jUjA,3
2021-11-02,The Tomorrow War,2021,https://boxd.it/lE78,3
2021-11-02,Wrath of Man,2021,https://boxd.it/nEia,3
2021-11-02,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU,4
2021-11-02,Spenser Confidential,2020,https://boxd.it/log4,3
2021-11-02,The Forever Purge,2021,https://boxd.it/mdzc,3
2021-11-02,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2021-11-02,Hitman's Wife's Bodyguard,2021,https://boxd.it/iZdq,3
2021-11-02,Knives Out,2019,https://boxd.it/jWEA,5
2021-11-02,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,5
2021-11-02,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2021-11-02,Jojo Rabbit,2019,https://boxd.it/iEBG,4
2021-11-02,Uncut Gems,2019,https://boxd.it/gXGc,4
2021-11-02,The Lighthouse,2019,https://boxd.it/icFU,4
2021-11-02,1917,2019,https://boxd.it/jj4y,5
2021-11-02,Us,2019,https://boxd.it/gnV6,4
2021-11-02,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2021-11-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,3
2021-11-02,It Chapter Two,2019,https://boxd.it/h10u,4
2021-11-02,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,5
2021-11-02,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,4
2021-11-02,The Platform,2019,https://boxd.it/mUm6,3
2021-11-02,Chernobyl,2019,https://boxd.it/mkbG,4
2021-11-02,Zombieland: Double Tap,2019,https://boxd.it/bgb6,4
2021-11-02,Alita: Battle Angel,2019,https://boxd.it/e0rS,3
2021-11-02,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3
2021-11-02,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,2
2021-11-02,Good Boys,2019,https://boxd.it/iW1G,4
2021-11-02,Happy Death Day 2U,2019,https://boxd.it/ixt6,3
2021-11-02,Annabelle Comes Home,2019,https://boxd.it/iU5m,3
2021-11-02,Hellboy,2019,https://boxd.it/gjaA,3
2021-11-02,Shaft,2019,https://boxd.it/htPq,4
2021-11-02,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/pKsE,5
2021-11-02,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2021-11-02,Avengers: Infinity War,2018,https://boxd.it/9vEe,5
2021-11-02,Black Panther,2018,https://boxd.it/8MHs,3
2021-11-02,A Quiet Place,2018,https://boxd.it/fVJQ,5
2021-11-02,BlacKkKlansman,2018,https://boxd.it/hxL8,5
2021-11-02,Bohemian Rhapsody,2018,https://boxd.it/f1TK,5
